theme,funder,country,year,recipients,totalAwarded,maxAwarded,avgAwarded,id
youth,Indigo Trust,Cameroon,2012,1,"£15,488","£15,488","£15,488",Indigo Trust-Cameroon
youth,Indigo Trust,Kenya,2017,1,"£15,671","£15,671","£15,671",Indigo Trust-Kenya
youth,Indigo Trust,Namibia,2012,1,"£15,310","£15,310","£15,310",Indigo Trust-Namibia
youth,Indigo Trust,Nigeria,2011,1,"£9,995","£9,995","£9,995",Indigo Trust-Nigeria
youth,Indigo Trust,Sierra Leone,2016,1,"£356,100","£356,100","£356,100",Indigo Trust-Sierra Leone
youth,Indigo Trust,South Africa,2015,1,"£22,000","£22,000","£22,000",Indigo Trust-South Africa
youth,Lloyds Bank Foundation for England and Wales,Bangladesh,2014,1,"£28,000","£28,000","£28,000",Lloyds Bank Foundation for England and Wales-Bangladesh
youth,Lloyds Bank Foundation for England and Wales,Bangladesh,2016,1,"£13,356","£13,356","£13,356",Lloyds Bank Foundation for England and Wales-Bangladesh
youth,Oxfordshire Community Foundation,India,2017,2,"£5,700","£4,700","£2,850",Oxfordshire Community Foundation-India
youth,Oxfordshire Community Foundation,Japan,2016,1,"£5,000","£5,000","£5,000",Oxfordshire Community Foundation-Japan
youth,Oxfordshire Community Foundation,Kenya,2017,1,"£5,000","£5,000","£5,000",Oxfordshire Community Foundation-Kenya
youth,Oxfordshire Community Foundation,Saudi Arabia,2017,1,"£5,000","£5,000","£5,000",Oxfordshire Community Foundation-Saudi Arabia
youth,Oxfordshire Community Foundation,Syria,2017,1,£500,£500,£500,Oxfordshire Community Foundation-Syria
youth,Pears Foundation,Israel,2015,1,"£52,616","£52,616","£52,616",Pears Foundation-Israel
youth,Quartet Community Foundation,France,2017,1,"£3,600","£3,600","£3,600",Quartet Community Foundation-France
youth,Quartet Community Foundation,Uganda,2017,1,£500,£500,£500,Quartet Community Foundation-Uganda
youth,Scottish Council For Voluntary Organisations,Australia,2016,1,"£4,623","£4,623","£4,623",Scottish Council For Voluntary Organisations-Australia
youth,Scottish Council For Voluntary Organisations,Syria,2016,1,"£5,000","£5,000","£5,000",Scottish Council For Voluntary Organisations-Syria
youth,The Dulverton Trust,Uganda,2009,1,"£20,000","£20,000","£20,000",The Dulverton Trust-Uganda
youth,The Henry Smith Charity,Ireland,2015,1,"£120,000","£120,000","£120,000",The Henry Smith Charity-Ireland
youth,The Henry Smith Charity,Ireland,2016,1,"£74,300","£74,300","£74,300",The Henry Smith Charity-Ireland
youth,The Tudor Trust,Ireland,2014,1,"£111,000","£111,000","£111,000",The Tudor Trust-Ireland
youth,The Tudor Trust,Ireland,2016,1,"£45,000","£45,000","£45,000",The Tudor Trust-Ireland
youth,The Tudor Trust,Ireland,2017,2,"£102,000","£100,000","£51,000",The Tudor Trust-Ireland
youth,The Tudor Trust,Kenya,2014,1,"£100,000","£100,000","£100,000",The Tudor Trust-Kenya
youth,The Tudor Trust,Slovakia,2013,1,"£26,000","£26,000","£26,000",The Tudor Trust-Slovakia
youth,The Tudor Trust,Uganda,2013,1,"£53,000","£53,000","£53,000",The Tudor Trust-Uganda
youth,The Tudor Trust,Uganda,2015,2,"£97,000","£57,000","£48,500",The Tudor Trust-Uganda
youth,The Tudor Trust,Uganda,2017,1,"£30,000","£30,000","£30,000",The Tudor Trust-Uganda
youth,Trafford Housing Trust Social Investment,Ethiopia,2016,1,"£6,000","£6,000","£6,000",Trafford Housing Trust Social Investment-Ethiopia
youth,Trafford Housing Trust Social Investment,South Africa,2016,1,£395,£395,£395,Trafford Housing Trust Social Investment-South Africa
youth,Two Ridings Community Foundation,Spain,2017,1,£500,£500,£500,Two Ridings Community Foundation-Spain
youth,Wiltshire Community Foundation,Eritrea,2015,1,"£5,000","£5,000","£5,000",Wiltshire Community Foundation-Eritrea
youth,Wolfson Foundation,Georgia,2014,1,"£50,000","£50,000","£50,000",Wolfson Foundation-Georgia
youth,Woodward Charitable Trust,Ghana,2014,1,"£1,000","£1,000","£1,000",Woodward Charitable Trust-Ghana
youth,Woodward Charitable Trust,India,2010,1,"£2,000","£2,000","£2,000",Woodward Charitable Trust-India
youth,Woodward Charitable Trust,Israel,2014,1,"£1,000","£1,000","£1,000",Woodward Charitable Trust-Israel
youth,Woodward Charitable Trust,Pakistan,2005,1,"£1,000","£1,000","£1,000",Woodward Charitable Trust-Pakistan
youth,ZING,Uganda,2012,1,"£55,000","£55,000","£55,000",ZING-Uganda
youth,ZING,Zambia,2010,1,"£60,000","£60,000","£60,000",ZING-Zambia
