theme,FundingName,year,recipients,totalAwarded,maxAwarded,avgAwarded,id
community,Quartet Community Foundation,2016,45,"£110,412","£6,600","£2,454",community-Quartet Community Foundation
community,Quartet Community Foundation,2017,101,"£481,659","£34,400","£4,769",community-Quartet Community Foundation
community,Quixote Foundation,2004,4,"£116,250","£56,250","£29,063",community-Quixote Foundation
community,Quixote Foundation,2007,1,"£18,750","£18,750","£18,750",community-Quixote Foundation
community,Quixote Foundation,2010,4,"£228,750","£75,000","£57,188",community-Quixote Foundation
community,Quixote Foundation,2013,1,"£75,000","£75,000","£75,000",community-Quixote Foundation
community,Quixote Foundation,2017,1,"£11,250","£11,250","£11,250",community-Quixote Foundation
community,R S Macdonald Charitable Trust,2015,7,"£148,808","£42,000","£21,258",community-R S Macdonald Charitable Trust
community,R S Macdonald Charitable Trust,2016,13,"£258,758","£40,500","£19,904",community-R S Macdonald Charitable Trust
community,R S Macdonald Charitable Trust,2017,5,"£97,126","£51,126","£19,425",community-R S Macdonald Charitable Trust
community,Road Safety Trust,2017,1,"£88,976","£88,976","£88,976",community-Road Safety Trust
community,Scottish Council For Voluntary Organisations,2015,25,"£222,799","£15,091","£8,912",community-Scottish Council For Voluntary Organisations
community,Scottish Council For Voluntary Organisations,2016,38,"£202,656","£9,918","£5,333",community-Scottish Council For Voluntary Organisations
community,Scottish Council For Voluntary Organisations,2017,19,"£169,988","£10,000","£8,947",community-Scottish Council For Voluntary Organisations
community,Seafarers UK,2017,1,"£110,000","£110,000","£110,000",community-Seafarers UK
community,Somerset Community Foundation,2014,1,"£20,000","£20,000","£20,000",community-Somerset Community Foundation
community,Somerset Community Foundation,2016,27,"£32,725","£4,893","£1,212",community-Somerset Community Foundation
community,Somerset Community Foundation,2017,2,"£2,650","£1,650","£1,325",community-Somerset Community Foundation
community,Staples Trust,2017,1,"£7,000","£7,000","£7,000",community-Staples Trust
community,Tedworth Charitable Trust,2017,1,"£19,500","£19,500","£19,500",community-Tedworth Charitable Trust
community,The Clothworkers Foundation,2016,6,"£227,500","£85,000","£37,917",community-The Clothworkers Foundation
community,The Clothworkers Foundation,2017,9,"£187,500","£50,000","£20,833",community-The Clothworkers Foundation
community,The David & Elaine Potter Foundation,2014,1,"£56,055","£56,055","£56,055",community-The David & Elaine Potter Foundation
community,The Dulverton Trust,2005,3,"£8,500","£5,000","£2,833",community-The Dulverton Trust
community,The Dulverton Trust,2006,10,"£101,500","£30,000","£10,150",community-The Dulverton Trust
community,The Dulverton Trust,2007,9,"£39,500","£14,000","£4,389",community-The Dulverton Trust
community,The Dulverton Trust,2008,11,"£71,600","£30,000","£6,509",community-The Dulverton Trust
community,The Dulverton Trust,2009,8,"£35,300","£15,000","£4,413",community-The Dulverton Trust
community,The Dulverton Trust,2010,6,"£43,700","£15,000","£7,283",community-The Dulverton Trust
community,The Dulverton Trust,2011,3,"£510,000","£270,000","£170,000",community-The Dulverton Trust
community,The Dulverton Trust,2012,1,"£30,000","£30,000","£30,000",community-The Dulverton Trust
community,The Dulverton Trust,2013,4,"£184,000","£84,000","£46,000",community-The Dulverton Trust
community,The Dulverton Trust,2014,6,"£383,421","£225,000","£63,904",community-The Dulverton Trust
community,The Dulverton Trust,2015,2,"£58,000","£30,000","£29,000",community-The Dulverton Trust
community,The Dulverton Trust,2016,1,"£5,000","£5,000","£5,000",community-The Dulverton Trust
community,The Dulverton Trust,2017,3,"£49,060","£25,000","£16,353",community-The Dulverton Trust
community,The Dunhill Medical Trust,2011,1,"£52,500","£52,500","£52,500",community-The Dunhill Medical Trust
community,The Dunhill Medical Trust,2012,1,"£104,695","£104,695","£104,695",community-The Dunhill Medical Trust
community,The Dunhill Medical Trust,2013,1,"£97,986","£97,986","£97,986",community-The Dunhill Medical Trust
community,The Dunhill Medical Trust,2014,2,"£124,667","£100,000","£62,334",community-The Dunhill Medical Trust
community,The Dunhill Medical Trust,2016,2,"£136,466","£69,066","£68,233",community-The Dunhill Medical Trust
community,The Dunhill Medical Trust,2017,4,"£128,000","£43,000","£32,000",community-The Dunhill Medical Trust
community,The Fore,2016,2,"£60,000","£30,000","£30,000",community-The Fore
community,The Henry Smith Charity,2012,44,"£1,311,870","£110,000","£29,815",community-The Henry Smith Charity
community,The Henry Smith Charity,2013,51,"£2,802,900","£300,000","£54,959",community-The Henry Smith Charity
community,The Henry Smith Charity,2014,38,"£2,281,200","£133,200","£60,032",community-The Henry Smith Charity
community,The Henry Smith Charity,2015,33,"£1,958,300","£175,900","£59,342",community-The Henry Smith Charity
community,The Henry Smith Charity,2016,35,"£1,809,900","£110,000","£51,711",community-The Henry Smith Charity
community,The Henry Smith Charity,2017,4,"£325,300","£97,700","£81,325",community-The Henry Smith Charity
community,The Joseph Rank Trust,2017,3,"£97,500","£37,500","£32,500",community-The Joseph Rank Trust
community,The Robertson Trust,2015,41,"£755,000","£51,000","£18,415",community-The Robertson Trust
community,The Robertson Trust,2016,33,"£783,500","£75,000","£23,742",community-The Robertson Trust
community,The Robertson Trust,2017,38,"£1,373,500","£211,000","£36,145",community-The Robertson Trust
community,The Tudor Trust,2013,78,"£4,398,000","£200,000","£56,385",community-The Tudor Trust
community,The Tudor Trust,2014,85,"£4,557,700","£208,000","£53,620",community-The Tudor Trust
community,The Tudor Trust,2015,80,"£4,142,850","£300,000","£51,786",community-The Tudor Trust
community,The Tudor Trust,2016,69,"£3,559,000","£215,000","£51,580",community-The Tudor Trust
community,The Tudor Trust,2017,75,"£3,424,000","£112,000","£45,653",community-The Tudor Trust
community,Trafford Housing Trust Social Investment,2014,42,"£153,063","£19,600","£3,644",community-Trafford Housing Trust Social Investment
community,Trafford Housing Trust Social Investment,2015,52,"£260,319","£25,000","£5,006",community-Trafford Housing Trust Social Investment
community,Trafford Housing Trust Social Investment,2016,52,"£258,971","£30,000","£4,980",community-Trafford Housing Trust Social Investment
community,Trafford Housing Trust Social Investment,2017,20,"£80,053","£10,771","£4,003",community-Trafford Housing Trust Social Investment
community,Trafford Metropolitan Borough Council,2013,15,"£40,100","£5,000","£2,673",community-Trafford Metropolitan Borough Council
community,Trafford Metropolitan Borough Council,2014,10,"£25,599","£4,000","£2,560",community-Trafford Metropolitan Borough Council
community,Trafford Metropolitan Borough Council,2017,5,"£6,837","£2,000","£1,367",community-Trafford Metropolitan Borough Council
community,True Colours Trust,2014,1,"£15,000","£15,000","£15,000",community-True Colours Trust
community,True Colours Trust,2016,1,"£5,000","£5,000","£5,000",community-True Colours Trust
community,Tuixen Foundation,2011,2,"£60,000","£50,000","£30,000",community-Tuixen Foundation
community,Tuixen Foundation,2012,2,"£68,000","£50,000","£34,000",community-Tuixen Foundation
community,Tuixen Foundation,2013,2,"£68,000","£50,000","£34,000",community-Tuixen Foundation
community,Tuixen Foundation,2014,2,"£48,000","£30,000","£24,000",community-Tuixen Foundation
community,Tuixen Foundation,2015,3,"£51,000","£21,000","£17,000",community-Tuixen Foundation
community,Tuixen Foundation,2016,2,"£41,000","£21,000","£20,500",community-Tuixen Foundation
community,Tuixen Foundation,2017,2,"£46,000","£25,000","£23,000",community-Tuixen Foundation
community,Two Ridings Community Foundation,2017,31,"£80,897","£7,080","£2,610",community-Two Ridings Community Foundation
community,United St Saviour's Charity,2016,6,"£349,209","£90,657","£58,202",community-United St Saviour's Charity
community,United St Saviour's Charity,2017,25,"£313,414","£60,000","£12,537",community-United St Saviour's Charity
community,Virgin Money Foundation,2015,5,"£158,543","£43,500","£31,709",community-Virgin Money Foundation
community,Virgin Money Foundation,2016,6,"£411,406","£216,508","£68,568",community-Virgin Money Foundation
community,Virgin Money Foundation,2017,9,"£688,726","£150,000","£76,525",community-Virgin Money Foundation
community,Walcot Foundation,2012,2,"£39,760","£23,310","£19,880",community-Walcot Foundation
community,Walcot Foundation,2013,2,"£116,778","£65,928","£58,389",community-Walcot Foundation
community,Walcot Foundation,2014,4,"£82,990","£40,000","£20,748",community-Walcot Foundation
community,Walcot Foundation,2015,2,"£109,970","£59,970","£54,985",community-Walcot Foundation
community,Walcot Foundation,2016,1,"£9,000","£9,000","£9,000",community-Walcot Foundation
community,Wiltshire Community Foundation,2015,39,"£150,891","£10,000","£3,869",community-Wiltshire Community Foundation
community,Wiltshire Community Foundation,2016,31,"£150,364","£15,000","£4,850",community-Wiltshire Community Foundation
community,Wiltshire Community Foundation,2017,4,"£7,308","£2,723","£1,827",community-Wiltshire Community Foundation
community,Wolfson Foundation,2015,2,"£294,000","£250,000","£147,000",community-Wolfson Foundation
community,Wolfson Foundation,2016,2,"£77,000","£50,000","£38,500",community-Wolfson Foundation
community,Woodward Charitable Trust,2004,4,"£10,700","£4,200","£2,675",community-Woodward Charitable Trust
community,Woodward Charitable Trust,2005,4,"£6,860","£3,510","£1,715",community-Woodward Charitable Trust
community,Woodward Charitable Trust,2007,7,"£36,415","£18,915","£5,202",community-Woodward Charitable Trust
community,Woodward Charitable Trust,2008,1,£750,£750,£750,community-Woodward Charitable Trust
community,Woodward Charitable Trust,2009,4,"£9,485","£4,485","£2,371",community-Woodward Charitable Trust
community,Woodward Charitable Trust,2010,8,"£23,608","£5,000","£2,951",community-Woodward Charitable Trust
community,Woodward Charitable Trust,2011,7,"£9,700","£2,000","£1,386",community-Woodward Charitable Trust
community,Woodward Charitable Trust,2012,5,"£6,850","£2,500","£1,370",community-Woodward Charitable Trust
community,Woodward Charitable Trust,2013,17,"£21,100","£2,000","£1,241",community-Woodward Charitable Trust
community,Woodward Charitable Trust,2014,13,"£27,062","£10,562","£2,082",community-Woodward Charitable Trust
community,Woodward Charitable Trust,2015,10,"£12,900","£3,500","£1,290",community-Woodward Charitable Trust
community,Woodward Charitable Trust,2016,6,"£5,500","£1,000",£917,community-Woodward Charitable Trust
community,Woodward Charitable Trust,2017,4,"£2,500","£1,000",£625,community-Woodward Charitable Trust
community,ZING,2010,1,"£50,000","£50,000","£50,000",community-ZING
community,ZING,2012,1,"£32,500","£32,500","£32,500",community-ZING
disabled,Barrow Cadbury Trust,2016,1,"£17,000","£17,000","£17,000",disabled-Barrow Cadbury Trust
disabled,BBC Children in Need,2013,24,"£1,693,666","£99,005","£70,569",disabled-BBC Children in Need
disabled,BBC Children in Need,2014,51,"£3,337,421","£121,965","£65,440",disabled-BBC Children in Need
disabled,BBC Children in Need,2015,115,"£4,108,554","£126,154","£35,727",disabled-BBC Children in Need
disabled,Birmingham City Council,2014,1,"£1,333","£1,333","£1,333",disabled-Birmingham City Council
disabled,"Calouste Gulbenkian Foundation, UK Branch",2015,5,"£115,000","£70,000","£23,000","disabled-Calouste Gulbenkian Foundation, UK Branch"
disabled,Cheshire Community Foundation,2016,10,"£33,971","£9,900","£3,397",disabled-Cheshire Community Foundation
disabled,Cheshire Community Foundation,2017,12,"£50,563","£9,500","£4,214",disabled-Cheshire Community Foundation
disabled,City Bridge Trust,2014,7,"£563,200","£107,700","£80,457",disabled-City Bridge Trust
disabled,City Bridge Trust,2015,6,"£589,200","£147,000","£98,200",disabled-City Bridge Trust
disabled,City Bridge Trust,2016,2,"£137,370","£96,500","£68,685",disabled-City Bridge Trust
disabled,City Bridge Trust,2017,4,"£405,650","£135,000","£101,413",disabled-City Bridge Trust
disabled,Co-operative Group,2017,269,"£663,978","£8,424","£2,468",disabled-Co-operative Group
disabled,Community Foundation for Surrey,2016,7,"£47,164","£25,000","£6,738",disabled-Community Foundation for Surrey
disabled,Community Foundation for Surrey,2017,8,"£30,928","£5,674","£3,866",disabled-Community Foundation for Surrey
disabled,Community Foundation serving Tyne & Wear and Northumberland,2015,7,"£21,094","£9,511","£3,013",disabled-Community Foundation serving Tyne & Wear and Northumberland
disabled,Community Foundation serving Tyne & Wear and Northumberland,2016,10,"£40,178","£9,880","£4,018",disabled-Community Foundation serving Tyne & Wear and Northumberland
disabled,Community Foundation serving Tyne & Wear and Northumberland,2017,1,"£1,200","£1,200","£1,200",disabled-Community Foundation serving Tyne & Wear and Northumberland
disabled,Corra Foundation,2015,2,"£5,750","£3,750","£2,875",disabled-Corra Foundation
disabled,Corra Foundation,2016,1,"£3,500","£3,500","£3,500",disabled-Corra Foundation
disabled,Essex Community Foundation,2016,6,"£28,685","£9,985","£4,781",disabled-Essex Community Foundation
disabled,Essex Community Foundation,2017,11,"£65,850","£10,000","£5,986",disabled-Essex Community Foundation
disabled,Greenham Common Trust,2015,1,"£2,500","£2,500","£2,500",disabled-Greenham Common Trust
disabled,Greenham Common Trust,2016,1,"£2,288","£2,288","£2,288",disabled-Greenham Common Trust
disabled,Heart Of England Community Foundation,2016,3,"£2,000","£1,000",£667,disabled-Heart Of England Community Foundation
disabled,Heart Of England Community Foundation,2017,1,"£2,950","£2,950","£2,950",disabled-Heart Of England Community Foundation
disabled,Indigo Trust,2014,1,"£10,000","£10,000","£10,000",disabled-Indigo Trust
disabled,Indigo Trust,2015,1,"£3,000","£3,000","£3,000",disabled-Indigo Trust
disabled,Joseph Rowntree Foundation,2017,1,"£2,800","£2,800","£2,800",disabled-Joseph Rowntree Foundation
disabled,Lloyd's Register Foundation,2016,1,"£30,000","£30,000","£30,000",disabled-Lloyd's Register Foundation
disabled,Lloyds Bank Foundation for England and Wales,2010,4,"£54,800","£22,000","£13,700",disabled-Lloyds Bank Foundation for England and Wales
disabled,Lloyds Bank Foundation for England and Wales,2013,49,"£1,040,900","£35,200","£21,243",disabled-Lloyds Bank Foundation for England and Wales
disabled,Lloyds Bank Foundation for England and Wales,2014,31,"£877,313","£73,800","£28,300",disabled-Lloyds Bank Foundation for England and Wales
disabled,Lloyds Bank Foundation for England and Wales,2015,3,"£111,423","£51,198","£37,141",disabled-Lloyds Bank Foundation for England and Wales
disabled,Lloyds Bank Foundation for England and Wales,2016,3,"£189,164","£74,400","£63,055",disabled-Lloyds Bank Foundation for England and Wales
disabled,Lloyds Bank Foundation for England and Wales,2017,4,"£279,672","£98,692","£69,918",disabled-Lloyds Bank Foundation for England and Wales
disabled,London Borough of Barnet,2016,2,"£31,532","£15,766","£15,766",disabled-London Borough of Barnet
disabled,London Borough of Barnet,2017,3,"£20,218","£15,768","£6,739",disabled-London Borough of Barnet
disabled,London Catalyst,2014,1,"£3,000","£3,000","£3,000",disabled-London Catalyst
disabled,London Catalyst,2015,1,"£5,000","£5,000","£5,000",disabled-London Catalyst
disabled,London Catalyst,2016,2,"£5,000","£4,000","£2,500",disabled-London Catalyst
disabled,London Councils,2013,2,"£1,718,140","£1,120,000","£859,070",disabled-London Councils
disabled,Macc,2017,1,"£2,000","£2,000","£2,000",disabled-Macc
disabled,Masonic Charitable Foundation,2016,2,"£103,500","£65,250","£51,750",disabled-Masonic Charitable Foundation
disabled,Masonic Charitable Foundation,2017,1,"£5,000","£5,000","£5,000",disabled-Masonic Charitable Foundation
disabled,Nationwide Foundation,2010,1,"£4,998","£4,998","£4,998",disabled-Nationwide Foundation
disabled,One Manchester,2015,3,"£2,600","£1,000",£867,disabled-One Manchester
disabled,One Manchester,2016,1,"£2,000","£2,000","£2,000",disabled-One Manchester
disabled,Oxford City Council,2014,1,"£2,800","£2,800","£2,800",disabled-Oxford City Council
disabled,Oxfordshire Community Foundation,2013,1,"£1,000","£1,000","£1,000",disabled-Oxfordshire Community Foundation
disabled,Oxfordshire Community Foundation,2014,1,"£1,000","£1,000","£1,000",disabled-Oxfordshire Community Foundation
disabled,Oxfordshire Community Foundation,2015,2,"£2,000","£1,000","£1,000",disabled-Oxfordshire Community Foundation
disabled,Oxfordshire Community Foundation,2017,6,"£18,214","£5,000","£3,036",disabled-Oxfordshire Community Foundation
disabled,Quartet Community Foundation,2016,16,"£16,786","£3,000","£1,049",disabled-Quartet Community Foundation
disabled,Quartet Community Foundation,2017,12,"£25,175","£5,000","£2,098",disabled-Quartet Community Foundation
disabled,R S Macdonald Charitable Trust,2015,2,"£18,000","£15,000","£9,000",disabled-R S Macdonald Charitable Trust
disabled,R S Macdonald Charitable Trust,2016,1,"£10,000","£10,000","£10,000",disabled-R S Macdonald Charitable Trust
disabled,R S Macdonald Charitable Trust,2017,5,"£51,000","£25,000","£10,200",disabled-R S Macdonald Charitable Trust
disabled,Scottish Council For Voluntary Organisations,2015,5,"£56,139","£14,522","£11,228",disabled-Scottish Council For Voluntary Organisations
disabled,Scottish Council For Voluntary Organisations,2016,3,"£20,977","£9,656","£6,992",disabled-Scottish Council For Voluntary Organisations
disabled,Scottish Council For Voluntary Organisations,2017,1,"£10,000","£10,000","£10,000",disabled-Scottish Council For Voluntary Organisations
disabled,Somerset Community Foundation,2016,3,"£4,620","£2,620","£1,540",disabled-Somerset Community Foundation
disabled,The Blagrave Trust,2015,2,"£170,000","£90,000","£85,000",disabled-The Blagrave Trust
disabled,The Clothworkers Foundation,2016,69,"£965,350","£60,000","£13,991",disabled-The Clothworkers Foundation
disabled,The Clothworkers Foundation,2017,78,"£1,225,450","£110,000","£15,711",disabled-The Clothworkers Foundation
disabled,The Dulverton Trust,2005,4,"£10,700","£5,000","£2,675",disabled-The Dulverton Trust
disabled,The Dulverton Trust,2006,3,"£38,500","£35,000","£12,833",disabled-The Dulverton Trust
disabled,The Dulverton Trust,2007,3,"£69,000","£40,000","£23,000",disabled-The Dulverton Trust
disabled,The Dulverton Trust,2008,1,"£2,000","£2,000","£2,000",disabled-The Dulverton Trust
disabled,The Dulverton Trust,2010,1,"£2,500","£2,500","£2,500",disabled-The Dulverton Trust
disabled,The Dulverton Trust,2016,1,"£75,000","£75,000","£75,000",disabled-The Dulverton Trust
disabled,The Henry Smith Charity,2012,27,"£654,030","£90,000","£24,223",disabled-The Henry Smith Charity
disabled,The Henry Smith Charity,2013,32,"£839,779","£120,000","£26,243",disabled-The Henry Smith Charity
disabled,The Henry Smith Charity,2014,33,"£740,752","£102,000","£22,447",disabled-The Henry Smith Charity
disabled,The Henry Smith Charity,2015,33,"£757,370","£104,500","£22,951",disabled-The Henry Smith Charity
disabled,The Henry Smith Charity,2016,30,"£753,100","£115,200","£25,103",disabled-The Henry Smith Charity
disabled,The Henry Smith Charity,2017,4,"£23,000","£10,000","£5,750",disabled-The Henry Smith Charity
disabled,The Robertson Trust,2015,1,"£22,500","£22,500","£22,500",disabled-The Robertson Trust
disabled,The Robertson Trust,2016,1,"£3,000","£3,000","£3,000",disabled-The Robertson Trust
disabled,The Robertson Trust,2017,3,"£25,000","£18,000","£8,333",disabled-The Robertson Trust
disabled,The Tudor Trust,2015,1,"£2,000","£2,000","£2,000",disabled-The Tudor Trust
disabled,Three Guineas Trust,2017,1,"£63,420","£63,420","£63,420",disabled-Three Guineas Trust
disabled,Trafford Housing Trust Social Investment,2015,4,"£30,132","£11,786","£7,533",disabled-Trafford Housing Trust Social Investment
disabled,Trafford Housing Trust Social Investment,2016,4,"£18,136","£9,473","£4,534",disabled-Trafford Housing Trust Social Investment
disabled,Trafford Housing Trust Social Investment,2017,1,"£1,500","£1,500","£1,500",disabled-Trafford Housing Trust Social Investment
disabled,Trafford Metropolitan Borough Council,2014,2,"£7,970","£4,000","£3,985",disabled-Trafford Metropolitan Borough Council
disabled,Trafford Metropolitan Borough Council,2017,1,"£2,781","£2,781","£2,781",disabled-Trafford Metropolitan Borough Council
disabled,True Colours Trust,2014,2,"£6,300","£5,000","£3,150",disabled-True Colours Trust
disabled,True Colours Trust,2015,4,"£20,654","£7,270","£5,164",disabled-True Colours Trust
disabled,True Colours Trust,2016,2,"£32,960","£27,960","£16,480",disabled-True Colours Trust
disabled,True Colours Trust,2017,5,"£142,810","£103,568","£28,562",disabled-True Colours Trust
disabled,Tuixen Foundation,2011,1,"£30,000","£30,000","£30,000",disabled-Tuixen Foundation
disabled,Tuixen Foundation,2012,2,"£35,000","£30,000","£17,500",disabled-Tuixen Foundation
disabled,Tuixen Foundation,2013,1,"£30,000","£30,000","£30,000",disabled-Tuixen Foundation
disabled,Tuixen Foundation,2014,2,"£35,000","£30,000","£17,500",disabled-Tuixen Foundation
disabled,Tuixen Foundation,2015,2,"£45,000","£25,000","£22,500",disabled-Tuixen Foundation
disabled,Tuixen Foundation,2016,2,"£45,000","£25,000","£22,500",disabled-Tuixen Foundation
disabled,Tuixen Foundation,2017,3,"£55,000","£25,000","£18,333",disabled-Tuixen Foundation
disabled,Two Ridings Community Foundation,2017,6,"£9,644","£5,000","£1,607",disabled-Two Ridings Community Foundation
disabled,Virgin Money Foundation,2015,1,"£17,130","£17,130","£17,130",disabled-Virgin Money Foundation
disabled,Wiltshire Community Foundation,2015,13,"£45,370","£9,000","£3,490",disabled-Wiltshire Community Foundation
disabled,Wiltshire Community Foundation,2016,4,"£13,965","£8,465","£3,491",disabled-Wiltshire Community Foundation
disabled,Wolfson Foundation,2014,2,"£105,000","£75,000","£52,500",disabled-Wolfson Foundation
disabled,Woodward Charitable Trust,2004,5,"£8,750","£3,000","£1,750",disabled-Woodward Charitable Trust
disabled,Woodward Charitable Trust,2005,5,"£8,472","£2,972","£1,694",disabled-Woodward Charitable Trust
disabled,Woodward Charitable Trust,2006,4,"£6,750","£2,750","£1,688",disabled-Woodward Charitable Trust
disabled,Woodward Charitable Trust,2007,11,"£44,650","£15,000","£4,059",disabled-Woodward Charitable Trust
disabled,Woodward Charitable Trust,2008,6,"£7,476","£2,476","£1,246",disabled-Woodward Charitable Trust
disabled,Woodward Charitable Trust,2009,4,"£6,500","£2,500","£1,625",disabled-Woodward Charitable Trust
disabled,Woodward Charitable Trust,2010,10,"£19,820","£4,600","£1,982",disabled-Woodward Charitable Trust
disabled,Woodward Charitable Trust,2011,10,"£13,507","£2,500","£1,351",disabled-Woodward Charitable Trust
disabled,Woodward Charitable Trust,2012,6,"£6,000","£1,500","£1,000",disabled-Woodward Charitable Trust
disabled,Woodward Charitable Trust,2013,7,"£8,300","£2,000","£1,186",disabled-Woodward Charitable Trust
disabled,Woodward Charitable Trust,2014,10,"£9,050","£2,000",£905,disabled-Woodward Charitable Trust
disabled,Woodward Charitable Trust,2015,10,"£5,800","£1,000",£580,disabled-Woodward Charitable Trust
disabled,Woodward Charitable Trust,2016,5,"£9,500","£5,000","£1,900",disabled-Woodward Charitable Trust
disabled,Woodward Charitable Trust,2017,4,"£2,500","£1,000",£625,disabled-Woodward Charitable Trust
elderly,Barrow Cadbury Trust,2015,1,"£15,000","£15,000","£15,000",elderly-Barrow Cadbury Trust
elderly,Birmingham City Council,2014,7,"£42,638","£25,193","£6,091",elderly-Birmingham City Council
elderly,Birmingham City Council,2015,3,"£77,954","£48,280","£25,985",elderly-Birmingham City Council
elderly,Birmingham City Council,2016,2,"£1,860","£1,240",£930,elderly-Birmingham City Council
elderly,Birmingham City Council,2017,1,£620,£620,£620,elderly-Birmingham City Council
elderly,Cheshire Community Foundation,2016,4,"£14,130","£6,240","£3,533",elderly-Cheshire Community Foundation
elderly,Cheshire Community Foundation,2017,2,"£3,090","£2,500","£1,545",elderly-Cheshire Community Foundation
elderly,City Bridge Trust,2014,1,"£81,300","£81,300","£81,300",elderly-City Bridge Trust
elderly,City Bridge Trust,2016,1,"£75,800","£75,800","£75,800",elderly-City Bridge Trust
elderly,City Bridge Trust,2017,1,"£69,500","£69,500","£69,500",elderly-City Bridge Trust
elderly,Co-operative Group,2017,197,"£473,063","£9,400","£2,401",elderly-Co-operative Group
elderly,Community Foundation for Surrey,2016,9,"£37,362","£12,500","£4,151",elderly-Community Foundation for Surrey
elderly,Community Foundation for Surrey,2017,6,"£11,727","£4,624","£1,955",elderly-Community Foundation for Surrey
elderly,Community Foundation serving Tyne & Wear and Northumberland,2015,3,"£10,000","£5,000","£3,333",elderly-Community Foundation serving Tyne & Wear and Northumberland
elderly,Community Foundation serving Tyne & Wear and Northumberland,2016,2,"£5,138","£4,838","£2,569",elderly-Community Foundation serving Tyne & Wear and Northumberland
elderly,Corra Foundation,2015,3,"£7,500","£3,500","£2,500",elderly-Corra Foundation
elderly,Corra Foundation,2016,4,"£13,482","£5,000","£3,371",elderly-Corra Foundation
elderly,Corra Foundation,2017,2,"£3,732","£1,924","£1,866",elderly-Corra Foundation
elderly,Essex Community Foundation,2016,3,"£10,270","£5,000","£3,423",elderly-Essex Community Foundation
elderly,Essex Community Foundation,2017,11,"£36,010","£10,000","£3,274",elderly-Essex Community Foundation
elderly,Heart Of England Community Foundation,2016,3,"£1,200",£500,£400,elderly-Heart Of England Community Foundation
elderly,Heart Of England Community Foundation,2017,3,"£8,399","£4,900","£2,800",elderly-Heart Of England Community Foundation
elderly,Lloyds Bank Foundation for England and Wales,2010,2,"£37,000","£22,000","£18,500",elderly-Lloyds Bank Foundation for England and Wales
elderly,Lloyds Bank Foundation for England and Wales,2011,1,"£38,700","£38,700","£38,700",elderly-Lloyds Bank Foundation for England and Wales
elderly,Lloyds Bank Foundation for England and Wales,2012,3,"£185,800","£146,400","£61,933",elderly-Lloyds Bank Foundation for England and Wales
elderly,Lloyds Bank Foundation for England and Wales,2013,7,"£174,200","£31,200","£24,886",elderly-Lloyds Bank Foundation for England and Wales
elderly,Lloyds Bank Foundation for England and Wales,2014,7,"£186,783","£72,133","£26,683",elderly-Lloyds Bank Foundation for England and Wales
elderly,Lloyds Bank Foundation for England and Wales,2015,1,"£14,000","£14,000","£14,000",elderly-Lloyds Bank Foundation for England and Wales
elderly,Lloyds Bank Foundation for England and Wales,2016,2,"£99,428","£50,000","£49,714",elderly-Lloyds Bank Foundation for England and Wales
elderly,Lloyds Bank Foundation for England and Wales,2017,2,"£149,391","£75,000","£74,696",elderly-Lloyds Bank Foundation for England and Wales
elderly,London Borough of Barnet,2016,1,"£2,000","£2,000","£2,000",elderly-London Borough of Barnet
elderly,London Borough of Barnet,2017,2,"£4,030","£2,405","£2,015",elderly-London Borough of Barnet
elderly,London Catalyst,2014,2,"£10,000","£8,000","£5,000",elderly-London Catalyst
elderly,London Catalyst,2016,2,"£7,000","£4,000","£3,500",elderly-London Catalyst
elderly,London Catalyst,2017,2,"£6,000","£4,000","£3,000",elderly-London Catalyst
elderly,Macc,2014,1,"£9,856","£9,856","£9,856",elderly-Macc
elderly,Nationwide Foundation,2009,8,"£39,938","£5,000","£4,992",elderly-Nationwide Foundation
elderly,Nationwide Foundation,2010,8,"£37,861","£5,000","£4,733",elderly-Nationwide Foundation
elderly,Nationwide Foundation,2011,2,"£9,782","£5,000","£4,891",elderly-Nationwide Foundation
elderly,Nationwide Foundation,2012,2,"£5,764","£3,764","£2,882",elderly-Nationwide Foundation
elderly,Oxford City Council,2014,1,"£1,740","£1,740","£1,740",elderly-Oxford City Council
elderly,Oxfordshire Community Foundation,2013,3,"£2,028",£778,£676,elderly-Oxfordshire Community Foundation
elderly,Oxfordshire Community Foundation,2015,5,"£5,345","£2,000","£1,069",elderly-Oxfordshire Community Foundation
elderly,Oxfordshire Community Foundation,2016,2,"£1,376",£900,£688,elderly-Oxfordshire Community Foundation
elderly,Oxfordshire Community Foundation,2017,15,"£66,471","£45,500","£4,431",elderly-Oxfordshire Community Foundation
elderly,Quartet Community Foundation,2016,12,"£14,389","£6,600","£1,199",elderly-Quartet Community Foundation
elderly,Quartet Community Foundation,2017,9,"£14,150","£5,500","£1,572",elderly-Quartet Community Foundation
elderly,R S Macdonald Charitable Trust,2017,1,"£22,300","£22,300","£22,300",elderly-R S Macdonald Charitable Trust
elderly,Scottish Council For Voluntary Organisations,2015,4,"£35,765","£15,091","£8,941",elderly-Scottish Council For Voluntary Organisations
elderly,Scottish Council For Voluntary Organisations,2016,3,"£16,320","£6,400","£5,440",elderly-Scottish Council For Voluntary Organisations
elderly,Scottish Council For Voluntary Organisations,2017,2,"£17,379","£10,000","£8,690",elderly-Scottish Council For Voluntary Organisations
elderly,Seafarers UK,2017,1,"£10,000","£10,000","£10,000",elderly-Seafarers UK
elderly,Somerset Community Foundation,2016,1,£500,£500,£500,elderly-Somerset Community Foundation
