"theme","fundersTop10","country","year","recipients","totalAwarded","maxAwarded","avgAwarded"
"community","The Big Lottery Fund","Sudan",2004,1,4770,4770,4770
"community","The Big Lottery Fund","Sudan",2005,2,5504,4430,2752
"community","The Big Lottery Fund","Sudan",2006,2,12700,7700,6350
"community","The Big Lottery Fund","Sudan",2007,4,123353,98873,30838.25
"community","The Big Lottery Fund","Sudan",2008,2,10700,5850,5350
"community","The Big Lottery Fund","Sudan",2009,1,74799,74799,74799
"community","The Big Lottery Fund","Sudan",2010,1,9251,9251,9251
"community","The Big Lottery Fund","Sudan",2011,1,9945,9945,9945
"community","The Big Lottery Fund","Sudan",2013,3,112353,97342,37451
"community","The Big Lottery Fund","Sudan",2015,1,9905,9905,9905
"community","The Big Lottery Fund","Sudan",2016,4,34966,10000,8741.5
"community","The Big Lottery Fund","Sudan",2017,3,25960,10000,8653.33333333333
"community","The Big Lottery Fund","Swaziland",2009,1,3554627,3554627,3554627
"community","The Big Lottery Fund","Sweden",2012,1,10000,10000,10000
"community","The Big Lottery Fund","Syria",2016,5,381448,347105,76289.6
"community","The Big Lottery Fund","Syria",2017,1,5470,5470,5470
"community","The Big Lottery Fund","Tanzania",2004,1,2000,2000,2000
"community","The Big Lottery Fund","Tanzania",2007,1,9104,9104,9104
"community","The Big Lottery Fund","Tanzania",2008,1,501477,501477,501477
"community","The Big Lottery Fund","Tanzania",2009,1,2045,2045,2045
"community","The Big Lottery Fund","Tanzania",2010,1,6030,6030,6030
"community","The Big Lottery Fund","Thailand",2007,1,9880,9880,9880
"community","The Big Lottery Fund","Thailand",2008,1,497353,497353,497353
"community","The Big Lottery Fund","Togo",2008,1,227335,227335,227335
"community","The Big Lottery Fund","Uganda",2005,1,189970,189970,189970
"community","The Big Lottery Fund","Uganda",2006,1,240,240,240
"community","The Big Lottery Fund","Uganda",2007,5,37863,10000,7572.6
"community","The Big Lottery Fund","Uganda",2008,1,9440,9440,9440
"community","The Big Lottery Fund","Uganda",2011,1,7179,7179,7179
"community","The Big Lottery Fund","Uganda",2013,1,9700,9700,9700
"community","The Big Lottery Fund","Ukraine",2007,1,5e+05,5e+05,5e+05
"community","The Big Lottery Fund","United Kingdom",2004,2,9325,4925,4662.5
"community","The Big Lottery Fund","United Kingdom",2005,1,5000,5000,5000
"community","The Big Lottery Fund","United Kingdom",2006,1,4870,4870,4870
"community","The Big Lottery Fund","United Kingdom",2007,2,4243125,4238925,2121562.5
"community","The Big Lottery Fund","United Kingdom",2008,1,9210,9210,9210
"community","The Big Lottery Fund","United Kingdom",2012,1,10000,10000,10000
"community","The Big Lottery Fund","United Kingdom",2017,2,12418,10000,6209
"community","The Big Lottery Fund","United States",2004,1,5000,5000,5000
"community","The Big Lottery Fund","United States",2005,1,2900,2900,2900
"community","The Big Lottery Fund","Vietnam",2004,4,50052,40082,12513
"community","The Big Lottery Fund","Vietnam",2005,2,287698,196527,143849
"community","The Big Lottery Fund","Vietnam",2006,4,74585,64240,18646.25
"community","The Big Lottery Fund","Vietnam",2007,2,105110,98078,52555
"community","The Big Lottery Fund","Vietnam",2008,1,3795,3795,3795
"community","The Big Lottery Fund","Vietnam",2011,3,23762,10000,7920.66666666667
"community","The Big Lottery Fund","Vietnam",2013,3,127514,108813,42504.6666666667
"community","The Big Lottery Fund","Vietnam",2017,1,9990,9990,9990
"community","The Big Lottery Fund","Yemen",2004,5,20765,5000,4153
"community","The Big Lottery Fund","Yemen",2005,7,381673,138253,54524.7142857143
"community","The Big Lottery Fund","Yemen",2006,5,377096,296478,75419.2
"community","The Big Lottery Fund","Yemen",2007,3,43580,23900,14526.6666666667
"community","The Big Lottery Fund","Yemen",2008,1,10000,10000,10000
"community","The Big Lottery Fund","Yemen",2009,1,10000,10000,10000
"community","The Big Lottery Fund","Yemen",2010,1,6025,6025,6025
"community","The Big Lottery Fund","Yemen",2012,1,5340,5340,5340
"community","The Big Lottery Fund","Yemen",2013,5,871602,584239,174320.4
"community","The Big Lottery Fund","Yemen",2014,1,9475,9475,9475
"community","The Big Lottery Fund","Yemen",2015,1,9919,9919,9919
"community","The Big Lottery Fund","Yemen",2016,2,19798,10000,9899
"community","The Big Lottery Fund","Yemen",2017,1,9919,9919,9919
"community","The Big Lottery Fund","Zambia",2004,3,14909,5000,4969.66666666667
"community","The Big Lottery Fund","Zambia",2006,1,3368,3368,3368
"community","The Big Lottery Fund","Zambia",2007,1,454238,454238,454238
"community","The Big Lottery Fund","Zimbabwe",2005,1,4315,4315,4315
"community","The Big Lottery Fund","Zimbabwe",2006,3,13223,5000,4407.66666666667
"community","The Big Lottery Fund","Zimbabwe",2008,1,3250,3250,3250
"community","The Big Lottery Fund","Zimbabwe",2010,1,7758,7758,7758
"community","The Big Lottery Fund","Zimbabwe",2011,1,4100,4100,4100
"community","The Big Lottery Fund","Zimbabwe",2012,1,9919,9919,9919
"community","The Big Lottery Fund","Zimbabwe",2013,1,499984,499984,499984
"community","The Big Lottery Fund",NA,2004,3478,365945083.8,4638975,105217.102875216
"community","The Big Lottery Fund",NA,2005,4753,164836160,2500000,34680.4460340837
"community","The Big Lottery Fund",NA,2006,5101,128766960,17455006,25243.473828661
"community","The Big Lottery Fund",NA,2007,3876,473470602.31,57908396.4,122154.438160475
"community","The Big Lottery Fund",NA,2008,3747,147983523.62,10881926,39493.8680597812
"community","The Big Lottery Fund",NA,2009,3545,130285691,1287686,36751.9579689704
"community","The Big Lottery Fund",NA,2010,4316,113790687.08,1e+06,26364.848721038
"community","The Big Lottery Fund",NA,2011,5372,358823475.42,214340846,66795.1368987342
"community","The Big Lottery Fund",NA,2012,4934,165169901.01,10505123,33475.8615747872
"community","The Big Lottery Fund",NA,2013,4902,239311998.43,47000490,48819.257125663
"community","The Big Lottery Fund",NA,2014,1463,38372410.54,1198292,26228.578632946
"community","The Big Lottery Fund",NA,2015,3095,100285398,2094334,32402.3903069467
"community","The Big Lottery Fund",NA,2016,5359,156092952,2780681,29127.2535920881
"community","The Big Lottery Fund",NA,2017,3565,140199263,3466000,39326.581486676
"community","The Wellcome Trust","Australia",2014,3,1996523,1700000,665507.666666667
"community","The Wellcome Trust","Australia",2016,1,169230,169230,169230
"community","The Wellcome Trust","Bangladesh",2008,1,30000,30000,30000
"community","The Wellcome Trust","Bangladesh",2011,1,60508,60508,60508
"community","The Wellcome Trust","Bangladesh",2013,3,2529994,2492780,843331.333333333
"community","The Wellcome Trust","Bangladesh",2015,2,365206,346758,182603
"community","The Wellcome Trust","Botswana",2014,1,29922,29922,29922
"community","The Wellcome Trust","Botswana",2017,1,1e+05,1e+05,1e+05
"community","The Wellcome Trust","Brazil",2007,1,40107,40107,40107
"community","The Wellcome Trust","Brazil",2009,1,7490,7490,7490
"community","The Wellcome Trust","Brazil",2010,1,31819,31819,31819
"community","The Wellcome Trust","Brazil",2015,1,49016,49016,49016
"community","The Wellcome Trust","Cambodia",2015,1,9959,9959,9959
"community","The Wellcome Trust","Chad",2010,3,1282470,690800,427490
"community","The Wellcome Trust","Chile",2006,1,78369,78369,78369
"community","The Wellcome Trust","China",2006,2,82082,75332,41041
"community","The Wellcome Trust","China",2014,1,22882,22882,22882
"community","The Wellcome Trust","China",2016,3,1955726,1737405,651908.666666667
"community","The Wellcome Trust","China",2017,1,95184,95184,95184
"community","The Wellcome Trust","Cuba",2006,1,5000,5000,5000
"community","The Wellcome Trust","Ecuador",2006,1,65386,65386,65386
"community","The Wellcome Trust","Ecuador",2009,1,131344,131344,131344
"community","The Wellcome Trust","Ecuador",2010,1,14513,14513,14513
"community","The Wellcome Trust","Egypt",2006,1,2000,2000,2000
"community","The Wellcome Trust","Egypt",2007,2,223808,193808,111904
"community","The Wellcome Trust","Egypt",2009,1,180817,180817,180817
"community","The Wellcome Trust","Ethiopia",2008,1,1580,1580,1580
"community","The Wellcome Trust","Ethiopia",2009,1,96939,96939,96939
"community","The Wellcome Trust","Ethiopia",2010,1,106586,106586,106586
"community","The Wellcome Trust","Ethiopia",2012,1,150902,150902,150902
"community","The Wellcome Trust","Ethiopia",2013,1,6723,6723,6723
"community","The Wellcome Trust","Ethiopia",2014,1,39879,39879,39879
"community","The Wellcome Trust","Ethiopia",2015,1,35541,35541,35541
"community","The Wellcome Trust","Fiji",2006,2,9000,6750,4500
"community","The Wellcome Trust","France",2005,1,680,680,680
"community","The Wellcome Trust","France",2012,1,153562,153562,153562
"community","The Wellcome Trust","Georgia",2010,1,133851,133851,133851
"community","The Wellcome Trust","Germany",2010,1,2500,2500,2500
"community","The Wellcome Trust","Germany",2012,1,1861182,1861182,1861182
"community","The Wellcome Trust","Germany",2015,1,261923,261923,261923
"community","The Wellcome Trust","Ghana",2007,1,90487,90487,90487
"community","The Wellcome Trust","Ghana",2008,1,29873,29873,29873
"community","The Wellcome Trust","Ghana",2011,1,526993,526993,526993
"community","The Wellcome Trust","Ghana",2013,1,29989,29989,29989
"community","The Wellcome Trust","Ghana",2015,2,103653,90725,51826.5
"community","The Wellcome Trust","Guatemala",2011,1,85181,85181,85181
"community","The Wellcome Trust","Guinea",2014,1,1038728,1038728,1038728
"community","The Wellcome Trust","Guinea",2015,1,1027736,1027736,1027736
"community","The Wellcome Trust","India",2006,5,1060452,648257,212090.4
"community","The Wellcome Trust","India",2007,1,10000,10000,10000
"community","The Wellcome Trust","India",2008,4,781014,381306,195253.5
"community","The Wellcome Trust","India",2009,3,404541,336667,134847
"community","The Wellcome Trust","India",2010,7,5827017,2573087,832431
"community","The Wellcome Trust","India",2011,4,2024706,1453005,506176.5
"community","The Wellcome Trust","India",2012,6,445416,183621,74236
"community","The Wellcome Trust","India",2014,2,59568,31216,29784
"community","The Wellcome Trust","India",2015,3,313309,278339,104436.333333333
"community","The Wellcome Trust","India",2016,2,63095,33145,31547.5
"community","The Wellcome Trust","India",2017,1,2413112,2413112,2413112
"community","The Wellcome Trust","Iran",2014,1,575656,575656,575656
"community","The Wellcome Trust","Iraq",2016,1,40000,40000,40000
"community","The Wellcome Trust","Ireland",2006,4,1583768,805501,395942
"community","The Wellcome Trust","Ireland",2008,2,1189044,1e+06,594522
"community","The Wellcome Trust","Ireland",2009,2,103360,73855,51680
"community","The Wellcome Trust","Ireland",2010,1,221162,221162,221162
"community","The Wellcome Trust","Ireland",2012,1,4985,4985,4985
"community","The Wellcome Trust","Ireland",2014,1,3281,3281,3281
"community","The Wellcome Trust","Ireland",2015,5,403629,250000,80725.8
"community","The Wellcome Trust","Ireland",2016,1,40000,40000,40000
"community","The Wellcome Trust","Ireland",2017,1,19000,19000,19000
"community","The Wellcome Trust","Japan",2007,1,2503,2503,2503
"community","The Wellcome Trust","Kenya",2005,1,35147,35147,35147
"community","The Wellcome Trust","Kenya",2006,5,530474,2e+05,106094.8
"community","The Wellcome Trust","Kenya",2007,6,15926851,5063037,2654475.16666667
"community","The Wellcome Trust","Kenya",2008,12,7942130,2902597,661844.166666667
"community","The Wellcome Trust","Kenya",2009,5,273677,121513,54735.4
"community","The Wellcome Trust","Kenya",2010,4,399060,143204,99765
"community","The Wellcome Trust","Kenya",2011,1,30000,30000,30000
"community","The Wellcome Trust","Kenya",2012,1,29056,29056,29056
"community","The Wellcome Trust","Kenya",2013,3,142590,108924,47530
"community","The Wellcome Trust","Kenya",2014,3,158915,111671,52971.6666666667
"community","The Wellcome Trust","Kenya",2015,3,242198,182341,80732.6666666667
"community","The Wellcome Trust","Kenya",2016,2,598254,578385,299127
"community","The Wellcome Trust","Kenya",2017,1,204062,204062,204062
"community","The Wellcome Trust","Laos",2014,1,420259,420259,420259
"community","The Wellcome Trust","Malawi",2009,2,142089,72173,71044.5
"community","The Wellcome Trust","Malawi",2010,2,683223,352526,341611.5
"community","The Wellcome Trust","Malawi",2011,2,583414,5e+05,291707
"community","The Wellcome Trust","Malawi",2012,3,1352482,523282,450827.333333333
"community","The Wellcome Trust","Malawi",2013,1,5e+05,5e+05,5e+05
"community","The Wellcome Trust","Malawi",2014,4,1433283,1050000,358320.75
"community","The Wellcome Trust","Malawi",2015,1,30000,30000,30000
"community","The Wellcome Trust","Malawi",2016,3,453956,4e+05,151318.666666667
"community","The Wellcome Trust","Malawi",2017,1,25084066,25084066,25084066
"community","The Wellcome Trust","Malaysia",2016,1,603810,603810,603810
"community","The Wellcome Trust","Mexico",2013,1,93529,93529,93529
"community","The Wellcome Trust","Nepal",2012,1,807471,807471,807471
"community","The Wellcome Trust","Nepal",2014,1,30000,30000,30000
"community","The Wellcome Trust","Nepal",2016,2,114061,84061,57030.5
"community","The Wellcome Trust","Nepal",2017,1,40000,40000,40000
"community","The Wellcome Trust","Nigeria",2008,2,148051,76965,74025.5
"community","The Wellcome Trust","Nigeria",2014,1,264983,264983,264983
"community","The Wellcome Trust","Nigeria",2016,2,39870,32922,19935
"community","The Wellcome Trust","Pakistan",2005,1,45455,45455,45455
"community","The Wellcome Trust","Pakistan",2011,2,253666,223666,126833
"community","The Wellcome Trust","Pakistan",2012,1,250000,250000,250000
"community","The Wellcome Trust","Pakistan",2013,3,1600135,1530275,533378.333333333
"community","The Wellcome Trust","Peru",2005,2,1008691,826041,504345.5
"community","The Wellcome Trust","Peru",2006,1,139779,139779,139779
"community","The Wellcome Trust","Peru",2008,1,454571,454571,454571
"community","The Wellcome Trust","Peru",2013,1,40000,40000,40000
"community","The Wellcome Trust","Peru",2016,2,133740,104202,66870
"community","The Wellcome Trust","Philippines",2011,1,30000,30000,30000
"community","The Wellcome Trust","Russia",2007,1,5000,5000,5000
"community","The Wellcome Trust","Russia",2011,1,4998,4998,4998
"community","The Wellcome Trust","Russia",2013,2,82580,81680,41290
"community","The Wellcome Trust","Senegal",2011,1,258495,258495,258495
"community","The Wellcome Trust","Sierra Leone",2015,1,259207,259207,259207
"community","The Wellcome Trust","Sierra Leone",2017,1,447803,447803,447803
"community","The Wellcome Trust","Singapore",2014,1,99103,99103,99103
"community","The Wellcome Trust","Singapore",2016,1,20097,20097,20097
"community","The Wellcome Trust","South Africa",2005,1,53965,53965,53965
"community","The Wellcome Trust","South Africa",2007,2,89780,66432,44890
"community","The Wellcome Trust","South Africa",2008,3,839085,535972,279695
"community","The Wellcome Trust","South Africa",2009,2,282949,252976,141474.5
"community","The Wellcome Trust","South Africa",2010,2,339115,309115,169557.5
"community","The Wellcome Trust","South Africa",2011,1,27072,27072,27072
"community","The Wellcome Trust","South Africa",2012,2,57340,29985,28670
"community","The Wellcome Trust","South Africa",2013,1,5000,5000,5000
"community","The Wellcome Trust","South Africa",2014,6,340142,229199,56690.3333333333
"community","The Wellcome Trust","South Africa",2015,6,1144325,907616,190720.833333333
"community","The Wellcome Trust","South Africa",2016,1,223209,223209,223209
"community","The Wellcome Trust","South Africa",2017,1,81730,81730,81730
"community","The Wellcome Trust","Spain",2015,1,33446,33446,33446
"community","The Wellcome Trust","Sri Lanka",2006,1,5000,5000,5000
"community","The Wellcome Trust","Sri Lanka",2010,1,786251,786251,786251
"community","The Wellcome Trust","Sri Lanka",2013,1,235117,235117,235117
"community","The Wellcome Trust","Sri Lanka",2016,1,5526,5526,5526
"community","The Wellcome Trust","Sri Lanka",2017,1,128520,128520,128520
"community","The Wellcome Trust","Sudan",2006,1,145824,145824,145824
"community","The Wellcome Trust","Suriname",2009,1,30000,30000,30000
"community","The Wellcome Trust","Suriname",2013,1,19457,19457,19457
"community","The Wellcome Trust","Sweden",2016,2,2048856,1549670,1024428
"community","The Wellcome Trust","Syria",2014,1,186225,186225,186225
"community","The Wellcome Trust","Tanzania",2009,1,30000,30000,30000
"community","The Wellcome Trust","Tanzania",2014,1,5000,5000,5000
"community","The Wellcome Trust","Tanzania",2015,2,59924,29994,29962
"community","The Wellcome Trust","Thailand",2014,1,190068,190068,190068
"community","The Wellcome Trust","The Gambia",2008,1,10000,10000,10000
"community","The Wellcome Trust","The Gambia",2015,1,321261,321261,321261
"community","The Wellcome Trust","Uganda",2006,1,113526,113526,113526
"community","The Wellcome Trust","Uganda",2007,1,103847,103847,103847
"community","The Wellcome Trust","Uganda",2009,2,324179,294179,162089.5
"community","The Wellcome Trust","Uganda",2010,1,250000,250000,250000
"community","The Wellcome Trust","Uganda",2011,2,209098,179171,104549
"community","The Wellcome Trust","Uganda",2012,1,268903,268903,268903
"community","The Wellcome Trust","Uganda",2013,2,332954,292954,166477
"community","The Wellcome Trust","Uganda",2014,1,28714,28714,28714
"community","The Wellcome Trust","Uganda",2016,1,363765,363765,363765
"community","The Wellcome Trust","United Kingdom",2010,2,364668,361924,182334
"community","The Wellcome Trust","United Kingdom",2012,2,1647395,1147395,823697.5
"community","The Wellcome Trust","United Kingdom",2013,1,77717,77717,77717
"community","The Wellcome Trust","United Kingdom",2014,1,3659,3659,3659
"community","The Wellcome Trust","United States",2006,1,50000,50000,50000
"community","The Wellcome Trust","United States",2008,1,1e+07,1e+07,1e+07
"community","The Wellcome Trust","Vietnam",2007,1,474291,474291,474291
"community","The Wellcome Trust","Vietnam",2010,1,29619,29619,29619
"community","The Wellcome Trust","Vietnam",2011,1,69045,69045,69045
"community","The Wellcome Trust","Vietnam",2012,3,2975608,1569817,991869.333333333
"community","The Wellcome Trust","Vietnam",2014,2,33000,30000,16500
"community","The Wellcome Trust","Vietnam",2015,1,231250,231250,231250
"community","The Wellcome Trust","Vietnam",2016,1,29484,29484,29484
"community","The Wellcome Trust","Vietnam",2017,1,343289,343289,343289
"community","The Wellcome Trust","Zambia",2009,1,12000,12000,12000
"community","The Wellcome Trust","Zambia",2016,1,99970,99970,99970
"community","The Wellcome Trust","Zimbabwe",2006,1,148247,148247,148247
"community","The Wellcome Trust","Zimbabwe",2009,1,491682,491682,491682
"community","The Wellcome Trust","Zimbabwe",2014,2,195388,172568,97694
"community","The Wellcome Trust","Zimbabwe",2015,1,25933,25933,25933
"community","The Wellcome Trust","Zimbabwe",2017,2,3150210,3126109,1575105
"community","The Wellcome Trust",NA,2005,20,2259824,491528,112991.2
"community","The Wellcome Trust",NA,2006,38,9739093,4050872,256291.921052632
"community","The Wellcome Trust",NA,2007,47,14304967,3233953,304361
"community","The Wellcome Trust",NA,2008,62,24563281,4100000,396181.951612903
"community","The Wellcome Trust",NA,2009,36,14943558,5701081,415098.833333333
"community","The Wellcome Trust",NA,2010,48,23907362,3878703,498070.041666667
"community","The Wellcome Trust",NA,2011,49,21433376,5598396,437415.836734694
"community","The Wellcome Trust",NA,2012,50,56379142,13526338,1127582.84
"community","The Wellcome Trust",NA,2013,54,19607503,3250206,363101.907407407
"community","The Wellcome Trust",NA,2014,68,34870146,3816779,512796.264705882
"community","The Wellcome Trust",NA,2015,50,15552503,3711390,311050.06
"community","The Wellcome Trust",NA,2016,77,40696744,9793833,528529.142857143
"community","The Wellcome Trust",NA,2017,47,22549661,3785335,479780.021276596
"disabled","Comic Relief","Kenya",2016,1,174989,174989,174989
"disabled","Comic Relief","Uganda",2015,1,530989,530989,530989
"disabled","Comic Relief",NA,2015,1,104863,104863,104863
"disabled","Esmée Fairbairn Foundation","Ireland",2012,1,45000,45000,45000
"disabled","Esmée Fairbairn Foundation",NA,2008,4,138425,60000,34606.25
"disabled","Esmée Fairbairn Foundation",NA,2009,4,183072,1e+05,45768
"disabled","Esmée Fairbairn Foundation",NA,2010,1,36000,36000,36000
"disabled","Esmée Fairbairn Foundation",NA,2011,6,420961,135000,70160.1666666667
"disabled","Esmée Fairbairn Foundation",NA,2012,8,320799.41,76199.41,40099.92625
"disabled","Esmée Fairbairn Foundation",NA,2013,5,532798,154728,106559.6
"disabled","Esmée Fairbairn Foundation",NA,2014,2,112116,82116,56058
"disabled","Esmée Fairbairn Foundation",NA,2015,6,749752,3e+05,124958.666666667
"disabled","Esmée Fairbairn Foundation",NA,2016,1,3e+05,3e+05,3e+05
"disabled","Esmée Fairbairn Foundation",NA,2017,3,250000,150000,83333.3333333333
"disabled","Northern Rock Foundation",NA,2004,11,612800,150000,55709.0909090909
"disabled","Northern Rock Foundation",NA,2005,8,509197,126409,63649.625
"disabled","Northern Rock Foundation",NA,2006,6,403406,112404,67234.3333333333
"disabled","Northern Rock Foundation",NA,2007,4,307215,175204,76803.75
"disabled","Northern Rock Foundation",NA,2008,2,72780,55390,36390
"disabled","Northern Rock Foundation",NA,2009,3,107059,49180,35686.3333333333
"disabled","Northern Rock Foundation",NA,2010,1,127068,127068,127068
"disabled","Northern Rock Foundation",NA,2011,2,82071,62500,41035.5
"disabled","Northern Rock Foundation",NA,2012,2,69063,39000,34531.5
"disabled","others","Bangladesh",2007,1,1000,1000,1000
"disabled","others","Eritrea",2015,1,5000,5000,5000
"disabled","others","India",2017,1,1000,1000,1000
"disabled","others","Japan",2017,1,1160.55,1160.55,1160.55
"disabled","others",NA,2004,5,8750,3000,1750
"disabled","others",NA,2005,9,19172,5000,2130.22222222222
"disabled","others",NA,2006,7,45250,35000,6464.28571428571
"disabled","others",NA,2007,13,112650,40000,8665.38461538462
"disabled","others",NA,2008,7,9476,2476,1353.71428571429
"disabled","others",NA,2009,4,6500,2500,1625
"disabled","others",NA,2010,16,82118,22000,5132.375
"disabled","others",NA,2011,11,43507,30000,3955.18181818182
"disabled","others",NA,2012,35,695030,90000,19858
"disabled","others",NA,2013,116,5331785,1120000,45963.6637931034
"disabled","others",NA,2014,145,5700139.33,121965,39311.3057241379
"disabled","others",NA,2015,223,6151216,147000,27583.9282511211
"disabled","others",NA,2016,193,2641745.11,115200,13687.7984974093
"disabled","others",NA,2017,444,3184142.16,135000,7171.49135135135
"disabled","Paul Hamlyn Foundation",NA,2007,1,9370,9370,9370
"disabled","Paul Hamlyn Foundation",NA,2008,3,243161,176961,81053.6666666667
"disabled","Paul Hamlyn Foundation",NA,2011,4,341740,173930,85435
"disabled","Paul Hamlyn Foundation",NA,2013,1,90000,90000,90000
"disabled","Paul Hamlyn Foundation",NA,2014,2,147450,77000,73725
"disabled","Paul Hamlyn Foundation",NA,2015,1,60000,60000,60000
"disabled","Paul Hamlyn Foundation",NA,2016,1,55000,55000,55000
"disabled","Sport England",NA,2009,2,73882,65332,36941
"disabled","Sport England",NA,2010,4,12285,4080,3071.25
"disabled","Sport England",NA,2011,4,38709,16709,9677.25
"disabled","Sport England",NA,2012,8,195490,58283,24436.25
"disabled","Sport England",NA,2013,13,629845,234000,48449.6153846154
"disabled","Sport England",NA,2014,21,986843,191886,46992.5238095238
"disabled","Sport England",NA,2015,11,374348,75000,34031.6363636364
"disabled","Sport England",NA,2016,5,58882,30000,11776.4
"disabled","Sport England",NA,2017,9,78275,23000,8697.22222222222
"disabled","The Big Lottery Fund","Armenia",2006,1,4984,4984,4984
"disabled","The Big Lottery Fund","Azerbaijan",2007,1,425761,425761,425761
"disabled","The Big Lottery Fund","Brazil",2008,1,10000,10000,10000
"disabled","The Big Lottery Fund","Burkina Faso",2007,1,9410,9410,9410
"disabled","The Big Lottery Fund","Burundi",2007,1,9139,9139,9139
"disabled","The Big Lottery Fund","China",2005,1,364758,364758,364758
"disabled","The Big Lottery Fund","Congo",2009,1,527240,527240,527240
"disabled","The Big Lottery Fund","Cuba",2004,1,4500,4500,4500
"disabled","The Big Lottery Fund","Ethiopia",2013,1,499142,499142,499142
"disabled","The Big Lottery Fund","France",2004,1,1300,1300,1300
"disabled","The Big Lottery Fund","Germany",2007,1,10000,10000,10000
"disabled","The Big Lottery Fund","India",2006,1,679041,679041,679041
"disabled","The Big Lottery Fund","India",2009,1,10000,10000,10000
"disabled","The Big Lottery Fund","Iran",2006,1,5000,5000,5000
"disabled","The Big Lottery Fund","Iraq",2004,2,58770,54520,29385
"disabled","The Big Lottery Fund","Iraq",2005,1,58605,58605,58605
"disabled","The Big Lottery Fund","Ireland",2004,1,250782,250782,250782
"disabled","The Big Lottery Fund","Ireland",2005,1,4888,4888,4888
"disabled","The Big Lottery Fund","Ireland",2009,1,9426,9426,9426
"disabled","The Big Lottery Fund","Ireland",2010,1,2827,2827,2827
"disabled","The Big Lottery Fund","Ireland",2011,2,15000,10000,7500
"disabled","The Big Lottery Fund","Ireland",2013,1,8210,8210,8210
"disabled","The Big Lottery Fund","Ireland",2015,1,8021,8021,8021
"disabled","The Big Lottery Fund","Ireland",2016,2,429790,419808,214895
"disabled","The Big Lottery Fund","Mozambique",2007,1,9980,9980,9980
"disabled","The Big Lottery Fund","Mozambique",2008,1,518943,518943,518943
"disabled","The Big Lottery Fund","Mozambique",2011,1,3600,3600,3600
"disabled","The Big Lottery Fund","Nepal",2005,1,341636,341636,341636
"disabled","The Big Lottery Fund","Singapore",2004,1,3440,3440,3440
"disabled","The Big Lottery Fund","South Africa",2006,1,4068,4068,4068
"disabled","The Big Lottery Fund","Sri Lanka",2008,1,484099,484099,484099
"disabled","The Big Lottery Fund","Sri Lanka",2012,1,472754,472754,472754
"disabled","The Big Lottery Fund","Tanzania",2007,1,8822,8822,8822
"disabled","The Big Lottery Fund","Tanzania",2008,1,523005,523005,523005
"disabled","The Big Lottery Fund","Tanzania",2012,1,13500,13500,13500
"disabled","The Big Lottery Fund","Tanzania",2013,1,223807,223807,223807
"disabled","The Big Lottery Fund","The Gambia",2007,1,494073,494073,494073
"disabled","The Big Lottery Fund","Uganda",2007,1,10000,10000,10000
"disabled","The Big Lottery Fund","United Kingdom",2005,1,5000,5000,5000
"disabled","The Big Lottery Fund","United Kingdom",2007,1,4238925,4238925,4238925
"disabled","The Big Lottery Fund","Vietnam",2004,1,40082,40082,40082
"disabled","The Big Lottery Fund","Vietnam",2009,1,8000,8000,8000
"disabled","The Big Lottery Fund","Yemen",2005,1,4988,4988,4988
"disabled","The Big Lottery Fund",NA,2004,669,29619263,4083755,44273.9357249626
"disabled","The Big Lottery Fund",NA,2005,879,30981788,1604851,35246.630261661
"disabled","The Big Lottery Fund",NA,2006,830,17192282,737410,20713.5927710843
"disabled","The Big Lottery Fund",NA,2007,539,46029008.5,16103959.5,85397.047309833
"disabled","The Big Lottery Fund",NA,2008,410,19020899,2893086,46392.4365853659
"disabled","The Big Lottery Fund",NA,2009,409,20848418,1153862,50974.1271393643
"disabled","The Big Lottery Fund",NA,2010,337,9081717.65,467337,26948.7170623145
"disabled","The Big Lottery Fund",NA,2011,289,15085262,918490,52198.1384083045
"disabled","The Big Lottery Fund",NA,2012,292,18021402.98,2120103,61717.1334931507
"disabled","The Big Lottery Fund",NA,2013,309,20846706.36,956137,67465.0691262136
"disabled","The Big Lottery Fund",NA,2014,81,3441603.77,454343,42488.9354320988
"disabled","The Big Lottery Fund",NA,2015,140,9698554,1134512,69275.3857142857
"disabled","The Big Lottery Fund",NA,2016,227,14268610,778100,62857.3127753304
"disabled","The Big Lottery Fund",NA,2017,148,7406238,1380025,50042.1486486486
"disabled","The Wellcome Trust","Australia",2017,1,49996,49996,49996
"disabled","The Wellcome Trust","France",2014,1,178990,178990,178990
"disabled","The Wellcome Trust","India",2013,1,10000,10000,10000
"disabled","The Wellcome Trust","India",2016,1,29950,29950,29950
"disabled","The Wellcome Trust","Ireland",2015,1,81095,81095,81095
"disabled","The Wellcome Trust","Ireland",2016,1,2628,2628,2628
"disabled","The Wellcome Trust","Sweden",2016,1,22719,22719,22719
"disabled","The Wellcome Trust","United Kingdom",2008,2,30000,15000,15000
"disabled","The Wellcome Trust",NA,2006,2,190211,188616,95105.5
"disabled","The Wellcome Trust",NA,2008,5,476500,264470,95300
"disabled","The Wellcome Trust",NA,2009,3,58143,26227,19381
"disabled","The Wellcome Trust",NA,2010,1,19650,19650,19650
"disabled","The Wellcome Trust",NA,2011,3,1020495,972501,340165
"disabled","The Wellcome Trust",NA,2012,2,90960,83084,45480
"disabled","The Wellcome Trust",NA,2013,2,98526,93685,49263
"disabled","The Wellcome Trust",NA,2014,4,1195290,1052940,298822.5
"disabled","The Wellcome Trust",NA,2015,4,94835,34250,23708.75
